Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Environmental_package,Experiment,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title,instrument_modelrun
ERR209252,MH0090,WGS,136,536344926,PRJEB1220,SAMEA2042426,"Beijing Genome Institute\, Shenzhen\, China",328773764,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183917,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20100129L2,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042426,ERS199088,Illumina,ERS199088,ERP002061,Stool sample from danish,
ERR209253,MH0090,WGS,136,513715428,PRJEB1220,SAMEA2042426,"Beijing Genome Institute\, Shenzhen\, China",318015227,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183918,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20100129L3,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042426,ERS199088,Illumina,ERS199088,ERP002061,Stool sample from danish,
ERR209254,MH0091,WGS,130,3722071215,PRJEB1220,SAMEA2042427,"Beijing Genome Institute\, Shenzhen\, China",2993871098,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183919,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091103,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042427,ERS199089,Illumina,ERS199089,ERP002061,Stool sample from danish,
ERR209255,MH0092,WGS,126,1929647456,PRJEB1220,SAMEA1969296,"Beijing Genome Institute\, Shenzhen\, China",1735532263,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183920,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091014,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA1969296,ERS199090,Illumina,ERS199090,ERP002061,Stool sample from danish,
ERR209256,MH0092,WGS,126,1063250862,PRJEB1220,SAMEA1969296,"Beijing Genome Institute\, Shenzhen\, China",950734571,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183921,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091107L6,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA1969296,ERS199090,Illumina,ERS199090,ERP002061,Stool sample from danish,
ERR209257,MH0092,WGS,135,497750287,PRJEB1220,SAMEA1969296,"Beijing Genome Institute\, Shenzhen\, China",421282614,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183922,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA1969296,ERS199090,Illumina,ERS199090,ERP002061,Stool sample from danish,
ERR209258,MH0092,WGS,128,179377306,PRJEB1220,SAMEA1969296,"Beijing Genome Institute\, Shenzhen\, China",150547003,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183923,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA1969296,ERS199090,Illumina,ERS199090,ERP002061,Stool sample from danish,
ERR209259,MH0092,WGS,129,183178928,PRJEB1220,SAMEA1969296,"Beijing Genome Institute\, Shenzhen\, China",151889954,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183924,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L5,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA1969296,ERS199090,Illumina,ERS199090,ERP002061,Stool sample from danish,
ERR209261,MH0092,WGS,130,432815152,PRJEB1220,SAMEA1969296,"Beijing Genome Institute\, Shenzhen\, China",385044591,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183926,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091212L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA1969296,ERS199090,Illumina,ERS199090,ERP002061,Stool sample from danish,
ERR209262,MH0093,WGS,124,1887235178,PRJEB1220,SAMEA2042428,"Beijing Genome Institute\, Shenzhen\, China",1694414532,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183927,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091014,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042428,ERS199091,Illumina,ERS199091,ERP002061,Stool sample from danish,
