Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title
ERR1293058,MMRS11288076ST-27-0-0,WGS,75,60894638,PRJEB12449,SAMEA3879500,53829980,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"sra,fastq","ncbi,ena,gs,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364630,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879500,ERS1066634,Illumina,ERS1066634,ERP013933,stool sample
ERR1293060,MMRS99045180ST-27-0-0,WGS,75,40658642,PRJEB12449,SAMEA3879501,36309540,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ncbi,s3,ena,gs","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364632,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879501,ERS1066635,Illumina,ERS1066635,ERP013933,stool sample
ERR1293061,MMRS99045180ST-27-0-0,WGS,75,42347433,PRJEB12449,SAMEA3879501,37716425,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","gs,ncbi,s3,ena","ncbi.public,gs.US,ena,s3.us-east-1",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364633,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879501,ERS1066635,Illumina,ERS1066635,ERP013933,stool sample
ERR1293063,MMRS99045180ST-27-0-0,WGS,74,38118430,PRJEB12449,SAMEA3879501,34145895,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","gs,ena,s3,ncbi","gs.US,ncbi.public,ena,s3.us-east-1",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364635,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879501,ERS1066635,Illumina,ERS1066635,ERP013933,stool sample
ERR1293065,MMRS66868025ST-27-0-0,WGS,76,88005204,PRJEB12449,SAMEA3879502,75812405,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","s3,gs,ena,ncbi","gs.US,ncbi.public,ena,s3.us-east-1",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364637,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879502,ERS1066636,Illumina,ERS1066636,ERP013933,stool sample
ERR1293068,MMRS36405092ST-27-0-0,WGS,76,59598849,PRJEB12449,SAMEA3879503,52077352,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"sra,fastq","ncbi,ena,s3,gs","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364640,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879503,ERS1066637,Illumina,ERS1066637,ERP013933,stool sample
ERR1293070,MMRS36405092ST-27-0-0,WGS,76,57347843,PRJEB12449,SAMEA3879503,50088128,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","gs,s3,ena,ncbi","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364642,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879503,ERS1066637,Illumina,ERS1066637,ERP013933,stool sample
ERR1293071,MMRS36405092ST-27-0-0,WGS,76,55785598,PRJEB12449,SAMEA3879503,48636484,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","gs,ena,ncbi,s3","s3.us-east-1,ncbi.public,gs.US,ena",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364643,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879503,ERS1066637,Illumina,ERS1066637,ERP013933,stool sample
ERR1293072,MMRS81135225ST-27-0-0,WGS,80,53242603,PRJEB12449,SAMEA3879504,44962090,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","ncbi,s3,ena,gs","gs.US,ncbi.public,ena,s3.us-east-1",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364644,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879504,ERS1066638,Illumina,ERS1066638,ERP013933,stool sample
ERR1293075,MMRS81135225ST-27-0-0,WGS,80,53206924,PRJEB12449,SAMEA3879504,44755429,"EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,",1985/1987,public,"fastq,sra","gs,ncbi,ena,s3","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2016-02-24,2018-11-16,human-associated habitat,feces,feces,ERX1364647,USA,North America,USA,39N,77W,human-gut,EMBL,2016-02-24T17:02:29Z,2016-10-21T09:37:19Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,size fractionation,METAGENOMIC,human gut metagenome,ILLUMINA,"Reproducibility of associations between the human gut microbiome and colorectal cancer assessed in a patient population from Washington\, DC\, USA",2016-02-25T00:00:00Z,SAMEA3879504,ERS1066638,Illumina,ERS1066638,ERP013933,stool sample
