Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title
ERR1398082,H3M615846,WGS,250,4993536250,PRJEB13870,SAMEA3951747,2456834887,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","ena,s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public,ena",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469341,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951747,ERS1138881,pyrosequencing,ERS1138881,ERP015450,human gut
ERR1398091,H1M313811,WGS,250,6823263000,PRJEB13870,SAMEA3951657,3692447429,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","s3,ncbi,ena,gs","gs.US,ncbi.public,ena,s3.us-east-1",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469350,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951657,ERS1138791,pyrosequencing,ERS1138791,ERP015450,human gut
ERR1398092,H1M513828,WGS,250,5515071250,PRJEB13870,SAMEA3951674,2759793799,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","s3,gs,ena,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469351,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951674,ERS1138808,pyrosequencing,ERS1138808,ERP015450,human gut
ERR1398095,H2M514108,WGS,250,5477714750,PRJEB13870,SAMEA3951709,3004689278,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","s3,gs,ncbi,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469354,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951709,ERS1138843,pyrosequencing,ERS1138843,ERP015450,human gut
ERR1398098,H1M412832,WGS,250,5315164250,PRJEB13870,SAMEA3951678,3104554209,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","gs,ena,ncbi,s3","gs.US,ncbi.public,s3.us-east-1,ena",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469357,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951678,ERS1138812,pyrosequencing,ERS1138812,ERP015450,human gut
ERR1398104,H3M514143,WGS,250,5433386500,PRJEB13870,SAMEA3951794,2810961589,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","s3,gs,ncbi,ena","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469363,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951794,ERS1138928,pyrosequencing,ERS1138928,ERP015450,human gut
ERR1398105,H3M416127,WGS,250,6226611500,PRJEB13870,SAMEA3951783,3331641668,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","ncbi,ena,gs,s3","gs.US,ena,ncbi.public,s3.us-east-1",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469364,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951783,ERS1138917,pyrosequencing,ERS1138917,ERP015450,human gut
ERR1398106,H1M413822,WGS,250,6237613500,PRJEB13870,SAMEA3951668,3452266512,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","ncbi,ena,s3,gs","s3.us-east-1,ena,gs.US,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469365,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951668,ERS1138802,pyrosequencing,ERS1138802,ERP015450,human gut
ERR1398107,H3M516804,WGS,250,5701055250,PRJEB13870,SAMEA3951764,2947136284,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","gs,ncbi,ena,s3","ena,gs.US,s3.us-east-1,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469366,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951764,ERS1138898,pyrosequencing,ERS1138898,ERP015450,human gut
ERR1398108,H1M513819,WGS,250,6934355250,PRJEB13870,SAMEA3951665,3568719132,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","s3,gs,ena,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469367,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951665,ERS1138799,pyrosequencing,ERS1138799,ERP015450,human gut
ERR1398109,nHM512834,WGS,250,5386269000,PRJEB13870,SAMEA3951644,2823512850,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","s3,ncbi,gs,ena","s3.us-east-1,ena,gs.US,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469368,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951644,ERS1138778,pyrosequencing,ERS1138778,ERP015450,human gut
ERR1398118,nHM612743,WGS,250,5737138500,PRJEB13870,SAMEA3951629,2937027664,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","ncbi,ena,s3,gs","gs.US,ena,s3.us-east-1,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469377,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951629,ERS1138763,pyrosequencing,ERS1138763,ERP015450,human gut
ERR1398119,H3M514144,WGS,250,5011466500,PRJEB13870,SAMEA3951795,2566098161,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","s3,gs,ena,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469378,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951795,ERS1138929,pyrosequencing,ERS1138929,ERP015450,human gut
