Run,Alias,AssayType,BioProject,BioSample,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_and/or_sea,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title,AvgSpotLen,Bases,Bytes
ERR1620260,SZAXPI029541-107,WGS,PRJEB15371,SAMEA4431873,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ncbi,gs,ena,s3","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690625,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029541-107,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431873,ERS1343322,Illumina,ERS1343322,ERP017091,Stool sample from China,196,6547777053,4968387841
ERR1620263,SZAXPI029545-129,WGS,PRJEB15371,SAMEA4431876,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","gs,ncbi,ena,s3","s3.us-east-1,gs.US,ena,ncbi.public",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690628,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029545-129,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431876,ERS1343325,Illumina,ERS1343325,ERP017091,Stool sample from China,194,5684371778,4496009261
ERR1620290,SZAXPI029471-33,WGS,PRJEB15371,SAMEA4431903,BEIJING GENOME INSTITUTE,2013,public,"sra,fastq","s3,gs,ncbi,ena","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690655,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029471-33,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431903,ERS1343352,Illumina,ERS1343352,ERP017091,Stool sample from China,197,6491077998,4615846044
ERR1620292,SZAXPI029480-66,WGS,PRJEB15371,SAMEA4431905,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","gs,s3,ncbi,ena","ncbi.public,gs.US,s3.us-east-1,ena",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690657,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029480-66,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431905,ERS1343354,Illumina,ERS1343354,ERP017091,Stool sample from China,197,4829748666,3399631636
ERR1620294,SZAXPI029483-78,WGS,PRJEB15371,SAMEA4431907,BEIJING GENOME INSTITUTE,2013,public,"sra,fastq","gs,ncbi,ena,s3","ena,ncbi.public,gs.US,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690659,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029483-78,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431907,ERS1343356,Illumina,ERS1343356,ERP017091,Stool sample from China,197,5773820023,4100420855
ERR1620308,RSZAXPI003065-105,WGS,PRJEB15371,SAMEA4431921,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","gs,ena,s3,ncbi","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690673,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003065-105,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431921,ERS1343370,Illumina,ERS1343370,ERP017091,Stool sample from China,198,4344838215,3117939523
ERR1620322,SZAXPI029551-166,WGS,PRJEB15371,SAMEA4431935,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ncbi,gs,s3,ena","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690687,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029551-166,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431935,ERS1343384,Illumina,ERS1343384,ERP017091,Stool sample from China,196,5043306190,3821866004
ERR1620331,SZAXPI029560-51,WGS,PRJEB15371,SAMEA4431944,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ncbi,s3,gs,ena","gs.US,ena,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2019-01-23,human gut,human-associated habitat,faeces,ERX1690696,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029560-51,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431944,ERS1343393,Illumina,ERS1343393,ERP017091,Stool sample from China,195,6141661569,4037525122
ERR1620354,SZAXPI029583-101,WGS,PRJEB15371,SAMEA4431967,BEIJING GENOME INSTITUTE,2013,public,"sra,fastq","s3,ena,ncbi,gs","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,2016-11-11,2019-01-23,human gut,human-associated habitat,faeces,ERX1690719,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029583-101,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431967,ERS1343416,Illumina,ERS1343416,ERP017091,Stool sample from China,196,5455947148,3691252022
ERR1620364,SZAXPI029593-133,WGS,PRJEB15371,SAMEA4431977,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ncbi,gs,ena,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,2016-11-11,2019-01-23,human gut,human-associated habitat,faeces,ERX1690729,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029593-133,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431977,ERS1343426,Illumina,ERS1343426,ERP017091,Stool sample from China,195,6275034865,4386226126
ERR1620366,SZAXPI029491-89,WGS,PRJEB15371,SAMEA4431979,BEIJING GENOME INSTITUTE,2013,public,"sra,fastq","ncbi,ena,s3,gs","ena,s3.us-east-1,gs.US,ncbi.public",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690731,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029491-89,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431979,ERS1343428,Illumina,ERS1343428,ERP017091,Stool sample from China,196,4132438089,3122310851
ERR1620261,SZAXPI029542-108,WGS,PRJEB15371,SAMEA4431874,BEIJING GENOME INSTITUTE,2013,public,"sra,fastq","ena,gs,s3,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690626,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029542-108,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431874,ERS1343323,Illumina,ERS1343323,ERP017091,Stool sample from China,191,4253506036,3487705398
ERR1620288,SZAXPI029468-169,WGS,PRJEB15371,SAMEA4431901,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,s3,ncbi","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690653,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029468-169,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431901,ERS1343350,Illumina,ERS1343350,ERP017091,Stool sample from China,197,7660985473,5489634601
ERR1620291,SZAXPI029476-50,WGS,PRJEB15371,SAMEA4431904,BEIJING GENOME INSTITUTE,2013,public,"sra,fastq","s3,ena,gs,ncbi","ena,s3.us-east-1,gs.US,ncbi.public",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690656,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029476-50,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431904,ERS1343353,Illumina,ERS1343353,ERP017091,Stool sample from China,196,5285251013,3842599046
ERR1620295,SZAXPI029484-80,WGS,PRJEB15371,SAMEA4431908,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","gs,ena,ncbi,s3","gs.US,s3.us-east-1,ena,ncbi.public",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690660,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029484-80,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431908,ERS1343357,Illumina,ERS1343357,ERP017091,Stool sample from China,197,5476036389,3853428434
ERR1620299,RSZAXPI003077-109,WGS,PRJEB15371,SAMEA4431912,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,ncbi,gs,s3","gs.US,ena,s3.us-east-1,ncbi.public",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690664,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003077-109,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431912,ERS1343361,Illumina,ERS1343361,ERP017091,Stool sample from China,197,4707664240,3312367930
ERR1620309,RSZAXPI003095-129,WGS,PRJEB15371,SAMEA4431922,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,s3,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690674,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003095-129,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431922,ERS1343371,Illumina,ERS1343371,ERP017091,Stool sample from China,198,4304705304,3003782110
ERR1620314,RSZAXPI003099-133,WGS,PRJEB15371,SAMEA4431927,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","gs,ncbi,ena,s3","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,2016-11-11,2019-01-23,human gut,human-associated habitat,faeces,ERX1690679,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003099-133,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431927,ERS1343376,Illumina,ERS1343376,ERP017091,Stool sample from China,197,5502465388,3383354000
ERR1620317,RSZAXPI003101-139,WGS,PRJEB15371,SAMEA4431930,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","gs,s3,ena,ncbi","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690682,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003101-139,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431930,ERS1343379,Illumina,ERS1343379,ERP017091,Stool sample from China,197,6075670334,4410825953
ERR1620318,RSZAXPI003081-115,WGS,PRJEB15371,SAMEA4431931,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","gs,s3,ena,ncbi","gs.US,s3.us-east-1,ncbi.public,ena",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690683,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003081-115,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431931,ERS1343380,Illumina,ERS1343380,ERP017091,Stool sample from China,198,4759688155,3357858909
ERR1620319,RSZAXPI003102-140,WGS,PRJEB15371,SAMEA4431932,BEIJING GENOME INSTITUTE,2013,public,"sra,fastq","gs,ena,ncbi,s3","gs.US,s3.us-east-1,ena,ncbi.public",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690684,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003102-140,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431932,ERS1343381,Illumina,ERS1343381,ERP017091,Stool sample from China,197,5124237183,3737801993
