Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,Description,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title
ERR1727564,alien-11-881-0,WGS,172,1302181909,PRJEB17632,SAMEA4545457,857602633,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014-03-31,public,"sra,fastq","ena,ncbi,s3,gs","ncbi.public,gs.US,ena,s3.us-east-1",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797492,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:52Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545457,ERS1444636,Illumina,ERS1444636,ERP019502,alien-11-881-0
ERR1727666,713A002-11-0-0,WGS,174,1320219867,PRJEB17632,SAMEA4545280,1010334324,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-01-19,public,"sra,fastq","s3,ena,ncbi,gs","ncbi.public,s3.us-east-1,gs.US,ena",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797594,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545280,ERS1444459,Illumina,ERS1444459,ERP019502,713A002-11-0-0
ERR1728272,713A014-11-0-0,WGS,168,1183663934,PRJEB17632,SAMEA4545294,949424595,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014-11-06,public,"sra,fastq","ncbi,gs,s3,ena","gs.US,ncbi.public,ena,s3.us-east-1",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1798200,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:55Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545294,ERS1444473,Illumina,ERS1444473,ERP019502,713A014-11-0-0
ERR1728840,713A039-11-90-0,WGS,73,89451060,PRJEB17632,SAMEA4545317,99649687,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-01-20,public,"fastq,sra","ena,gs,s3,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1798768,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545317,ERS1444496,Illumina,ERS1444496,ERP019502,713A039-11-90-0
ERR1729414,713A055-11-90-0,WGS,75,56232843,PRJEB17632,SAMEA4545333,61914278,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-04-28,public,"sra,fastq","gs,ena,ncbi,s3","ncbi.public,ena,s3.us-east-1,gs.US",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1799342,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:55Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545333,ERS1444512,Illumina,ERS1444512,ERP019502,713A055-11-90-0
ERR1729506,713B057-11-90-0,WGS,68,86894072,PRJEB17632,SAMEA4545429,98672665,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-02-11,public,"sra,fastq","ena,s3,gs,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1799434,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:52Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545429,ERS1444608,Illumina,ERS1444608,ERP019502,713B057-11-90-0
ERR1729520,713A005-11-0-0,WGS,74,77253456,PRJEB17632,SAMEA4545284,86031938,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014-11-06,public,"sra,fastq","ena,s3,gs,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1799448,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,SINGLE,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545284,ERS1444463,Illumina,ERS1444463,ERP019502,713A005-11-0-0
ERR1727862,daisy-11-389-0,WGS,173,1033926133,PRJEB17632,SAMEA4545481,576528782,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014-05-09,public,"fastq,sra","gs,s3,ncbi,ena","gs.US,ena,s3.us-east-1,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797790,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:55Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545481,ERS1444660,Illumina,ERS1444660,ERP019502,daisy-11-389-0
ERR1727894,donald4-11-30-0,WGS,171,541043302,PRJEB17632,SAMEA4545497,326031363,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-04-12,public,"fastq,sra","gs,s3,ncbi,ena","s3.us-east-1,ena,ncbi.public,gs.US",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797822,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:52Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545497,ERS1444676,Illumina,ERS1444676,ERP019502,donald4-11-30-0
ERR1727906,mickey1-11-30-0,WGS,164,448353374,PRJEB17632,SAMEA4545509,279779901,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-04-12,public,"sra,fastq","gs,s3,ncbi,ena","ncbi.public,ena,gs.US,s3.us-east-1",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797834,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545509,ERS1444688,Illumina,ERS1444688,ERP019502,mickey1-11-30-0
