Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,Description,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,SampleName,Sample_Name,SRA_accession,SRAStudy,Title
ERR260132,1,WGS,202,2756179910,PRJEB1786,SAMEA1906452,1946953783,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,gs,ncbi,ena","ena,ncbi.public,s3.us-east-1,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234720,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906452,ERS235496,ERS235496,ERP002469,304
ERR260133,2,WGS,202,2664136590,PRJEB1786,SAMEA1906536,1816728601,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,ncbi,ena,gs","s3.us-east-1,ncbi.public,ena,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234721,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906536,ERS235497,ERS235497,ERP002469,305
ERR260134,3,WGS,202,14947398242,PRJEB1786,SAMEA1906542,10496273654,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ncbi,gs,ena,s3","gs.US,ena,ncbi.public,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234722,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906542,ERS235498,ERS235498,ERP002469,312
ERR260136,5,WGS,202,2589449312,PRJEB1786,SAMEA1906516,1795878047,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,s3,ena,ncbi","gs.US,ncbi.public,s3.us-east-1,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234724,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906516,ERS235500,ERS235500,ERP002469,327
ERR260137,6,WGS,202,1942446342,PRJEB1786,SAMEA1906573,1380947848,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ncbi,ena,s3","ena,ncbi.public,s3.us-east-1,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234725,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906573,ERS235501,ERS235501,ERP002469,330
ERR260138,7,WGS,202,3430913238,PRJEB1786,SAMEA1906552,2408785602,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ncbi,s3,ena","ena,s3.us-east-1,ncbi.public,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234726,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906552,ERS235502,ERS235502,ERP002469,332
ERR260139,8,WGS,202,2036676514,PRJEB1786,SAMEA1906465,1429558409,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ncbi,gs,ena,s3","s3.us-east-1,ena,gs.US,ncbi.public",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234727,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906465,ERS235503,ERS235503,ERP002469,334
ERR260140,9,WGS,202,1935856900,PRJEB1786,SAMEA1906489,1323298801,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,ena,ncbi,gs","ncbi.public,s3.us-east-1,ena,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234728,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906489,ERS235504,ERS235504,ERP002469,344
ERR260141,10,WGS,202,2488603034,PRJEB1786,SAMEA1906485,1752307219,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ncbi,gs,ena,s3","ncbi.public,ena,gs.US,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234729,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906485,ERS235505,ERS235505,ERP002469,347
ERR260142,11,WGS,202,2452610674,PRJEB1786,SAMEA1906416,1782242592,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,s3,ncbi,ena","ncbi.public,gs.US,ena,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234730,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906416,ERS235506,ERS235506,ERP002469,349
