Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Environmental_package,Experiment,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title
ERR321072,MetaHIT-MH0005,WGS,88,878788680,PRJEB4336,SAMEA2147193,565817897,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294205,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:20Z,public,Illumina Genome Analyzer II,metagenome,081109,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2147193,ERS328720,Illumina,ERS328720,ERP003612,Stool sample from danish
ERR321087,MetaHIT-MH0010,WGS,88,811134632,PRJEB4336,SAMEA2144302,483155922,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294220,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:20Z,public,Illumina Genome Analyzer II,metagenome,081113,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2144302,ERS328725,Illumina,ERS328725,ERP003612,Stool sample from danish
ERR321089,MetaHIT-MH0011,WGS,150,743417700,PRJEB4336,SAMEA2159553,242460254,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294222,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:20Z,public,Illumina Genome Analyzer II,metagenome,081203,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2159553,ERS328726,Illumina,ERS328726,ERP003612,Stool sample from danish
ERR321090,MetaHIT-MH0011,WGS,150,1663295250,PRJEB4336,SAMEA2159553,1365136840,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294223,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:20Z,public,Illumina Genome Analyzer II,metagenome,081224,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2159553,ERS328726,Illumina,ERS328726,ERP003612,Stool sample from danish
ERR321091,MetaHIT-MH0011,WGS,150,1980242250,PRJEB4336,SAMEA2159553,1818593798,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294224,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:20Z,public,Illumina Genome Analyzer II,metagenome,090120,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2159553,ERS328726,Illumina,ERS328726,ERP003612,Stool sample from danish
ERR321092,MetaHIT-MH0012,WGS,150,761117850,PRJEB4336,SAMEA2161876,243978596,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294225,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:20Z,public,Illumina Genome Analyzer II,metagenome,081203,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2161876,ERS328727,Illumina,ERS328727,ERP003612,Stool sample from danish
ERR321093,MetaHIT-MH0012,WGS,150,1603182450,PRJEB4336,SAMEA2161876,1256516232,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294226,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:20Z,public,Illumina Genome Analyzer II,metagenome,081224,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2161876,ERS328727,Illumina,ERS328727,ERP003612,Stool sample from danish
ERR321111,MetaHIT-MH0018,WGS,88,702422512,PRJEB4336,SAMEA2161087,369481513,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294244,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:20Z,public,Illumina Genome Analyzer II,metagenome,081108,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2161087,ERS328733,Illumina,ERS328733,ERP003612,Stool sample from danish
ERR321142,MetaHIT-MH0034,WGS,150,2083950300,PRJEB4336,SAMEA2154082,1975875757,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294275,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer II,metagenome,090122,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2154082,ERS328748,Illumina,ERS328748,ERP003612,Stool sample from danish
ERR321276,MetaHIT-MH0094,WGS,148,617070460,PRJEB4336,SAMEA2155310,459010219,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294409,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2155310,ERS328808,Illumina,ERS328808,ERP003612,Stool sample from danish
