Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_and/or_sea,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title,INSDC_center_alias,Individual
ERR589561,SZAXPI012065-33,WGS,194,6752344675,PRJEB6997,SAMEA2737702,5420082866,BGI,2012,public,"sra,fastq","ncbi,ena,s3,gs","gs.US,ena,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547556,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:49:03Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012065-33,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737702,ERS537232,Illumina,ERS537232,ERP006678,Stool sample from China,BGI,
ERR589632,SZAXPI018274-87,WGS,195,6962971745,PRJEB6997,SAMEA2737989,5440150421,BGI,2067,public,"sra,fastq","ncbi,ena,gs,s3","gs.US,ncbi.public,ena,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547627,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:51:40Z,public,Illumina HiSeq 2000,metagenome,SZAXPI018274-87,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737989,ERS537519,Illumina,ERS537519,ERP006678,oral sample from China,BGI,
ERR589678,SZAXPI018359-24,WGS,191,7475907572,PRJEB6997,SAMEA2738125,6243373228,BGI,2256,public,"sra,fastq","ncbi,s3,gs,ena","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547673,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:50:15Z,public,Illumina HiSeq 2000,metagenome,SZAXPI018359-24,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738125,ERS537655,Illumina,ERS537655,ERP006678,oral sample from China,BGI,
ERR589819,SZAXPI021239-113,WGS,186,5362775438,PRJEB6997,SAMEA2737824,4487413382,BGI,2012,public,"fastq,sra","ena,s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547814,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:49:40Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021239-113,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737824,ERS537354,Illumina,ERS537354,ERP006678,Stool sample from China,BGI,
ERR589707,SZAXPI018441-109,WGS,183,5181763425,PRJEB6997,SAMEA2738154,4562864146,BGI,2196,public,"sra,fastq","s3,ena,ncbi,gs","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547702,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:05:55Z,public,Illumina HiSeq 2000,metagenome,SZAXPI018441-109,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738154,ERS537684,Illumina,ERS537684,ERP006678,oral sample from China,BGI,
ERR589358,RSZAXPI002315-24,WGS,193,5591745996,PRJEB6997,SAMEA2737890,4278140407,BGI,2078,public,"fastq,sra","ena,gs,ncbi,s3","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547353,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:04:26Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002315-24,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737890,ERS537420,Illumina,ERS537420,ERP006678,oral sample from China,BGI,
ERR589363,RSZAXPI002320-32,WGS,194,5684197029,PRJEB6997,SAMEA2737895,4335080705,BGI,2116,public,"sra,fastq","ncbi,s3,ena,gs","s3.us-east-1,ncbi.public,gs.US,ena",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547358,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:50:50Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002320-32,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737895,ERS537425,Illumina,ERS537425,ERP006678,oral sample from China,BGI,
ERR589394,RSZAXPI002466-99_2,WGS,196,538105390,PRJEB6997,SAMEA2738039,399512909,BGI,2237,public,"fastq,sra","s3,ncbi,ena,gs","gs.US,ncbi.public,s3.us-east-1,ena",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547389,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:05:02Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002466-99_2,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738039,ERS537569,Illumina,ERS537569,ERP006678,oral sample from China,BGI,
ERR589409,RSZAXPI002473-113,WGS,196,1210411786,PRJEB6997,SAMEA2738052,886360833,BGI,2226,public,"sra,fastq","ena,gs,s3,ncbi","gs.US,s3.us-east-1,ena,ncbi.public",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547404,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:44:52Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002473-113,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738052,ERS537582,Illumina,ERS537582,ERP006678,oral sample from China,BGI,
ERR589422,RSZAXPI002480-13_2,WGS,194,1256287140,PRJEB6997,SAMEA2738067,964732358,BGI,2217,public,"sra,fastq","s3,ena,ncbi,gs","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547417,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:05:03Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002480-13_2,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738067,ERS537597,Illumina,ERS537597,ERP006678,oral sample from China,BGI,
