Run,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,Experiment,Instrument,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,SampleName,SRAStudy
SRR585700,WGS,202,2483205190,PRJNA177201,SAMN01760908,1634150985,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193481,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 238,SRP016067
SRR585729,WGS,202,2751822972,PRJNA177201,SAMN01760919,1813560433,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193509,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 245,SRP016067
SRR585748,WGS,202,2220793858,PRJNA177201,SAMN01760937,1410136519,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193527,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 599,SRP016067
SRR585749,WGS,202,2846452094,PRJNA177201,SAMN01760938,1898267669,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193528,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 150,SRP016067
SRR585750,WGS,202,1571847244,PRJNA177201,SAMN01760939,1007757395,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193529,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 244,SRP016067
SRR585754,WGS,202,1730265138,PRJNA177201,SAMN01760943,1032842626,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193533,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 294,SRP016067
SRR585755,WGS,202,3313454480,PRJNA177201,SAMN01760944,2209759772,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193534,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 309,SRP016067
SRR585756,WGS,202,2124811942,PRJNA177201,SAMN01760945,1390219644,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193535,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 501,SRP016067
SRR585758,WGS,202,1214677510,PRJNA177201,SAMN01760947,769635857,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193537,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 235,SRP016067
SRR585760,WGS,202,1561353950,PRJNA177201,SAMN01760948,969352742,"DEPARTMENT OF CHEMICAL AND BIOLOGICAL ENGINEERING,",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX193538,Illumina HiSeq 2000,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-07-22T00:00:00Z,Symptomatic atherosclerosis gut metagenome 248,SRP016067
