Run,analysis_typeexp,analysis_typerun,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Consent,data_typeexp,data_typerun,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,Experiment,flowcell_barcoderun,geo_loc_name_country,geo_loc_name_country_continent,GEOGRAPHIC_LOCATION,gssr_idexp,gssr_idrun,instrument_namerun,Instrument,Isolation_source,lanerun,LibraryName,library_typeexp,library_typerun,LibraryLayout,LibrarySelection,LibrarySource,lsidexp,lsidrun,material_typeexp,Organism,Platform,product_orderexp,product_orderrun,product_part_numberexp,product_part_numberrun,projectexp,projectrun,read_group_idrun,ReleaseDate,research_projectexp,research_projectrun,root_sample_idexp,root_sample_idrun,run_barcoderun,run_namerun,sample_idexp,sample_IDrun,SampleName,Sample_Name,screenedrun,specific_host,SRAStudy,STRAIN,work_requestexp,work_requestrun
SRR1918822,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,719580358,PRJNA231909,SAMN03399933,465464714,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956941,D2E1WACXX,uncalculated,uncalculated,missing,377748.0,377748.0,SL-HEK,Illumina HiSeq 2000,missing,2,Pond-267159,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ32,broadinstitute.org:bsp.prod.sample:4QJ32,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45230,G45230,D2E1W.2,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2BT,SM-3T2BT,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ32,SM-4QJ32,PRJNA231909.3112924,3112924,yes,missing,SRP056054,missing,37603,37603
SRR1918828,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,919731250,PRJNA231909,SAMN03399884,591689700,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956951,D2E1WACXX,uncalculated,uncalculated,missing,377763.0,377763.0,SL-HEK,Illumina HiSeq 2000,missing,2,Pond-267174,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ3H,broadinstitute.org:bsp.prod.sample:4QJ3H,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45254,G45254,D2E1W.2,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2EH,SM-3T2EH,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ3H,SM-4QJ3H,PRJNA231909.3114545,3114545,yes,missing,SRP056054,missing,37603,37603
SRR1918829,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,860266692,PRJNA231909,SAMN03399896,557451213,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956949,D2E1WACXX,uncalculated,uncalculated,missing,377749.0,377749.0,SL-HEK,Illumina HiSeq 2000,missing,3,Pond-267160,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ33,broadinstitute.org:bsp.prod.sample:4QJ33,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45252,G45252,D2E1W.3,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2DT,SM-3T2DT,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ33,SM-4QJ33,PRJNA231909.3113044,3113044,yes,missing,SRP056054,missing,37603,37603
SRR1918830,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,780621728,PRJNA231909,SAMN03399961,500769624,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956956,D2E1WACXX,uncalculated,uncalculated,missing,377770.0,377770.0,SL-HEK,Illumina HiSeq 2000,missing,1,Pond-267181,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ3O,broadinstitute.org:bsp.prod.sample:4QJ3O,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45255,G45255,D2E1W.1,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2D8,SM-3T2D8,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ3O,SM-4QJ3O,PRJNA231909.3110006,3110006,yes,missing,SRP056054,missing,37603,37603
SRR1918831,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,921102224,PRJNA231909,SAMN03398929,592316050,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956965,D2E1WACXX,uncalculated,uncalculated,missing,377786.0,377786.0,SL-HEK,Illumina HiSeq 2000,missing,1,Pond-267197,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ45,broadinstitute.org:bsp.prod.sample:4QJ45,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45228,G45228,D2E1W.1,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2DM,SM-3T2DM,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ45,SM-4QJ45,PRJNA231909.3112419,3112419,yes,missing,SRP056054,missing,37603,37603
SRR1918833,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,806325218,PRJNA231909,SAMN03399882,516445319,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956953,D2E1WACXX,uncalculated,uncalculated,missing,377796.0,377796.0,SL-HEK,Illumina HiSeq 2000,missing,1,Pond-267207,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ4F,broadinstitute.org:bsp.prod.sample:4QJ4F,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45234,G45234,D2E1W.1,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2O3,SM-3T2O3,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ4F,SM-4QJ4F,PRJNA231909.3114865,3114865,yes,missing,SRP056054,missing,37603,37603
SRR1918905,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,736591384,PRJNA231909,SAMN03398896,476577568,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956968,D2E1WACXX,uncalculated,uncalculated,missing,377764.0,377764.0,SL-HEK,Illumina HiSeq 2000,missing,3,Pond-267175,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ3I,broadinstitute.org:bsp.prod.sample:4QJ3I,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45262,G45262,D2E1W.3,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2CM,SM-3T2CM,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ3I,SM-4QJ3I,PRJNA231909.3112122,3112122,yes,missing,SRP056054,missing,37603,37603
SRR1918906,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,764776444,PRJNA231909,SAMN03401237,493069324,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956982,D2E1WACXX,uncalculated,uncalculated,missing,377765.0,377765.0,SL-HEK,Illumina HiSeq 2000,missing,2,Pond-267176,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ3J,broadinstitute.org:bsp.prod.sample:4QJ3J,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45269,G45269,D2E1W.2,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T28U,SM-3T28U,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ3J,SM-4QJ3J,PRJNA231909.3113996,3113996,yes,missing,SRP056054,missing,37603,37603
SRR1918908,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,764107218,PRJNA231909,SAMN03399905,492215109,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956944,D2E1WACXX,uncalculated,uncalculated,missing,377787.0,377787.0,SL-HEK,Illumina HiSeq 2000,missing,3,Pond-267198,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ46,broadinstitute.org:bsp.prod.sample:4QJ46,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45250,G45250,D2E1W.3,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2AH,SM-3T2AH,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ46,SM-4QJ46,PRJNA231909.3115087,3115087,yes,missing,SRP056054,missing,37603,37603
SRR1918909,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,794619722,PRJNA231909,SAMN03399917,510705906,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956955,D2E1WACXX,uncalculated,uncalculated,missing,377793.0,377793.0,SL-HEK,Illumina HiSeq 2000,missing,2,Pond-267204,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ4C,broadinstitute.org:bsp.prod.sample:4QJ4C,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45251,G45251,D2E1W.2,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2BI,SM-3T2BI,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ4C,SM-4QJ4C,PRJNA231909.3113393,3113393,yes,missing,SRP056054,missing,37603,37603
